                id                | name  |                                                   jsondata                                                    
 E9816BABF98BFDAB39019D860D8C458F | ɜ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Open-mid_central_unrounded_vowel"}
 B2F9334D1BEF5CB7DFB2AE2ED9B4F5CD | ɬʲʼ   | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_alveolar_lateral_fricative"}
 7B6489AE98B6E326169F03D41D94EF20 | e̞ː    | {"wikipedia_url": "http://en.wikipedia.org//en.wikipedia.org/w/index.php?title=Template:Braille&action=edit"}
 DFD4C33AE8EDC996AE9601F1F3032D40 | qχʼ   | {"wikipedia_url": "http://en.wikipedia.org/wiki/Uvular_ejective_affricate"}
 A75CBBD9298B4A64E9E1D2E5F7E93EC2 | ɡ̟ʲ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_velar_stop"}
 3C1A1E9B9FED20D6AAA0A9A0F6EED3E6 | t̻ʰ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Template_talk:Braille"}
 0D9FD173012C61DF0ABA4BB4F4E846C0 | qχʷ   | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_uvular_affricate"}
 85B5166682FD88E2D0FFE59E8C158F61 | k̟ʲʰ   | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_velar_stop"}
 CDF158D18462B5A7E189D5D1CBD916BE | t̻ʼ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Template_talk:Braille"}
 4563A9B9ABA1D0DBF14EDE55D11BE085 | ʃʼ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Palato-alveolar_ejective_fricative"}
 64BE904ADBB13847AFFE6ACB03371049 | ɣ̟ʲ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_velar_fricative"}
 B95529318452F7E00AE69C18EBE1E0F2 | ɡʷ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_velar_stop"}
 92B41E9C14B6FD2564CABDE05D20ED97 | z̻     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_alveolar_sibilant"}
 86E80A7DA80F7F58CA76F85BACA48F86 | f     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_labiodental_fricative"}
 010B4A2C6472D9909A0AE8C30FA45593 | ɦ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_glottal_fricative"}
 20C1F9AD9776790CC5F64837AE0C94FC | n̻     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Alveolar_nasal"}
 A280472652D6720DE4453AEBF0DDD21B | ˀr    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Alveolar_trill"}
 AAF17177442FE1CE92EDB3F98540769C | ɬʲ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_alveolar_lateral_fricative"}
 3E15E4709C8D94D0EEC18D2D6CA7F316 | ç̟     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_palatal_fricative"}
 033ACAA664F151FC56BC9595526BCFA4 | v     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Template:Braille"}
 55F94F929CDB58CDE9BE8333787E3A31 | ʕ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_pharyngeal_fricative"}
 FF6C523F2A5DD002B5514706570EEE96 | ɮʲ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_alveolar_lateral_fricative"}
 106C7FE93D986D037407524D08F3599A | ts    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_alveolar_sibilant_affricate"}
 EF29C6F75A75513554A1F65706301CE2 | a̟     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Open_front_unrounded_vowel"}
 A2DFF488C07B9A11B5DF5EA37214750D | β     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_bilabial_fricative"}
 258C639F2F822CD1D56805F5397712E4 | e̞     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Mid_front_unrounded_vowel"}
 983ADF6F0E3D956C103BE19FB490FF5C | ə̆     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Mid-central_vowel"}
 CCF0350A2EFEF792529909972278B165 | o̞     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Mid_back_rounded_vowel"}
 CF50E15F866A7B9698A8F95C5C9B48B2 | ɪ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Near-close_near-front_unrounded_vowel"}
 9B4FF3CA9C2C2CC0884F937ECD88C04D | ʂ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_retroflex_sibilant"}
 BAC1076952BFA8DB102EB8888621C1B6 | ũː    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Close_back_rounded_vowel"}
 64EABC4FDF5DE0BE02E889701FD34147 | ʈ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_retroflex_stop"}
 F8BC6EBDEC064D9A6E846CFD080DA110 | ˥˦    | {"wikipedia_url": "http://en.wikipedia.org//www.mediawiki.org/"}
 D418E761F17614DCFCAE81181526DD99 | ɖʐ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_retroflex_affricate"}
 330D41249CF0C4909A4938BE6FCC9311 | ãː    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Open_front_unrounded_vowel"}
 0C125CB557D530881A8F1E46A3EB6F0C | ʈʂ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_retroflex_affricate"}
 4364823B8F03525E91440277AEC22689 | ʈʰ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_retroflex_stop"}
 C7364BE7F76504D8DE329FFF30C42424 | d̠ʒ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_palato-alveolar_affricate"}
 872DA50DAF7A7CF11DCBAE09F12F3AEF | ʐ͇     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_retroflex_sibilant"}
 C7C4C9A7FC8E91E786EB462D2CA1F5BF | ˩˨    | {"wikipedia_url": "http://en.wikipedia.org//www.mediawiki.org/"}
 BE81A18FCCFFEDC9ACF3B18F14E766BD | ɖ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_retroflex_stop"}
 71337C9E4205D44145532EBCA5DA4EEA | ˧     | {"wikipedia_url": "http://en.wikipedia.org//www.mediawiki.org/"}
 1221CD26FBA96262AA84D0449FF78413 | ʈʂʰ   | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_retroflex_affricate"}
 584E53EB5DC897FE333F996BB3854365 | b̤     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_bilabial_stop"}
 DAA293A200C8597396725116EC9D5654 | pː    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_bilabial_stop"}
